fastq,expected_md5_checksum,actual_md5_checksum,md5_matches
CRR710761.fq.gz,74e8b66f6a3b8cb1e4a04b589ef52a6a,74e8b66f6a3b8cb1e4a04b589ef52a6a,True
CRR710762.fq.gz,4220b999467e0dac777845092f1930e0,4220b999467e0dac777845092f1930e0,True
CRR710763.fq.gz,11b31f0b62702116249e32227ca6a7a0,11b31f0b62702116249e32227ca6a7a0,True
CRR710764.fq.gz,4600e4e7cd2922743d773cfe919c1573,4600e4e7cd2922743d773cfe919c1573,True
CRR710765.fq.gz,82460ce4f40ba12c73a6a1ce2c4e5ff3,82460ce4f40ba12c73a6a1ce2c4e5ff3,True
CRR710766.fq.gz,11ab596d5f38d31ad3354560379e029e,11ab596d5f38d31ad3354560379e029e,True
CRR710767_f1.fq.gz,1a54cddc5d76067803284411ae9b7167,1a54cddc5d76067803284411ae9b7167,True
CRR710767_r2.fq.gz,d7bb4db00456d2a296985c1fa320c57e,d7bb4db00456d2a296985c1fa320c57e,True
CRR710768_f1.fq.gz,c7943d4034bb8ed2e884308f91aa6497,c7943d4034bb8ed2e884308f91aa6497,True
CRR710768_r2.fq.gz,21c9b68d272f2ba446f21d1210594c56,21c9b68d272f2ba446f21d1210594c56,True
CRR710769_f1.fq.gz,064c93523a260f186c11d09266a44fde,064c93523a260f186c11d09266a44fde,True
CRR710769_r2.fq.gz,249f023086f1a624cabe297051ad9b7a,249f023086f1a624cabe297051ad9b7a,True
CRR710770_f1.fq.gz,65d4ea6559a7d9b40e61e8925013d073,65d4ea6559a7d9b40e61e8925013d073,True
CRR710770_r2.fq.gz,a29119d506ebda0c4b83f174b6651fc2,a29119d506ebda0c4b83f174b6651fc2,True
CRR710771_f1.fq.gz,270c3c47b0ea57e616732b47800d58f2,270c3c47b0ea57e616732b47800d58f2,True
CRR710771_r2.fq.gz,a2a9c33bdbd5e7998ab4fb54356f0ec2,a2a9c33bdbd5e7998ab4fb54356f0ec2,True
CRR710772_f1.fq.gz,adf1338f9e6b9c678063ecf3d95606ff,adf1338f9e6b9c678063ecf3d95606ff,True
CRR710772_r2.fq.gz,25b4b390af227571d3b8396fdb241c5e,25b4b390af227571d3b8396fdb241c5e,True
CRR710773_f1.fq.gz,c44be8fea91cfeb05c0e69cc60a82e50,c44be8fea91cfeb05c0e69cc60a82e50,True
CRR710773_r2.fq.gz,75108a630c4987ad4d08763ae28f6050,75108a630c4987ad4d08763ae28f6050,True
CRR710774_f1.fq.gz,c11fa1ac5a009583dfcd20c0026e761e,c11fa1ac5a009583dfcd20c0026e761e,True
CRR710774_r2.fq.gz,3ed397f1c75a785cfe1fd89fed6b432a,3ed397f1c75a785cfe1fd89fed6b432a,True
CRR710775_f1.fq.gz,1e19459028bde2f37c57c705764adbdc,1e19459028bde2f37c57c705764adbdc,True
CRR710775_r2.fq.gz,f5ca4c7f4d5e417c1217bab8e094f4a9,f5ca4c7f4d5e417c1217bab8e094f4a9,True
CRR710776_f1.fq.gz,396303ecabc8806fbc520b8c7a210be7,396303ecabc8806fbc520b8c7a210be7,True
CRR710776_r2.fq.gz,16d9e245936d2f19374e804e9d6367e5,16d9e245936d2f19374e804e9d6367e5,True
CRR710777_f1.fq.gz,58c84200429811685fc342d4e3f5a120,58c84200429811685fc342d4e3f5a120,True
CRR710777_r2.fq.gz,8f11d4ca2dba21b4c445acd74cbade40,8f11d4ca2dba21b4c445acd74cbade40,True
CRR710778_f1.fq.gz,4ff671f278a24fa6001d1d816b0c5a01,4ff671f278a24fa6001d1d816b0c5a01,True
CRR710778_r2.fq.gz,88ab7d18d121ea536f6f8b5199ff213f,88ab7d18d121ea536f6f8b5199ff213f,True
CRR710779_f1.fq.gz,a267f564ea536a06b5b0e08972792ff7,a267f564ea536a06b5b0e08972792ff7,True
CRR710779_r2.fq.gz,4f0f5bce87ce377fcd5fd37bdeb471a9,4f0f5bce87ce377fcd5fd37bdeb471a9,True
CRR710780_f1.fq.gz,9e790b700091b3622e9af71af7a3886d,9e790b700091b3622e9af71af7a3886d,True
CRR710780_r2.fq.gz,0fbc595eed69901815fdedf1ab86a6f3,0fbc595eed69901815fdedf1ab86a6f3,True
CRR710781_f1.fq.gz,85a6632845cc1e4180f610bcea596d79,85a6632845cc1e4180f610bcea596d79,True
CRR710781_r2.fq.gz,e8861fa034ca13753ab145c236d42e8e,e8861fa034ca13753ab145c236d42e8e,True
CRR710782_f1.fq.gz,11602c5164ffc94ec51085cd27ff260c,11602c5164ffc94ec51085cd27ff260c,True
CRR710782_r2.fq.gz,706de0ed2b1af0d38dd853b053849225,706de0ed2b1af0d38dd853b053849225,True
CRR710783_f1.fq.gz,a0f847c864879e637b07d7ea2e901c4e,a0f847c864879e637b07d7ea2e901c4e,True
CRR710783_r2.fq.gz,1018bf79a5567774f7b65ad1dc07e06a,1018bf79a5567774f7b65ad1dc07e06a,True
CRR710784_f1.fq.gz,2eaeb7bf064f646b944f388edaa6f1ea,2eaeb7bf064f646b944f388edaa6f1ea,True
CRR710784_r2.fq.gz,895f249d1456250eec934d2ede1d9cc5,895f249d1456250eec934d2ede1d9cc5,True
CRR710785_f1.fq.gz,74b84cf0aa9335188d0afce0da374718,74b84cf0aa9335188d0afce0da374718,True
CRR710785_r2.fq.gz,d1156eb5f03d7655ab8f67fab1366094,d1156eb5f03d7655ab8f67fab1366094,True
CRR710786.fq.gz,bae7a8c15c075638135618ad6d9bdb25,bae7a8c15c075638135618ad6d9bdb25,True
