accession,read_filtering,virus_id,n_reads,covered_bases
CRR710761,mapping quality filtered,OM451122.1,0,0
CRR710761,mapping quality filtered,OM451123.1,0,0
CRR710761,mapping quality filtered,MT114540.1,0,0
CRR710761,mapping quality filtered,MT114541.1,0,0
CRR710761,all mapped reads,OM451122.1,0,0
CRR710761,all mapped reads,OM451123.1,0,0
CRR710761,all mapped reads,MT114540.1,0,0
CRR710761,all mapped reads,MT114541.1,0,0
CRR710762,mapping quality filtered,OM451122.1,0,0
CRR710762,mapping quality filtered,OM451123.1,1,43
CRR710762,mapping quality filtered,MT114540.1,4,172
CRR710762,mapping quality filtered,MT114541.1,8,258
CRR710762,all mapped reads,OM451122.1,2,675
CRR710762,all mapped reads,OM451123.1,7,1028
CRR710762,all mapped reads,MT114540.1,19,1329
CRR710762,all mapped reads,MT114541.1,16,1372
CRR710763,mapping quality filtered,OM451122.1,1,43
CRR710763,mapping quality filtered,OM451123.1,4,129
CRR710763,mapping quality filtered,MT114540.1,0,0
CRR710763,mapping quality filtered,MT114541.1,3,86
CRR710763,all mapped reads,OM451122.1,4,711
CRR710763,all mapped reads,OM451123.1,11,883
CRR710763,all mapped reads,MT114540.1,9,659
CRR710763,all mapped reads,MT114541.1,11,1012
CRR710764,mapping quality filtered,OM451122.1,0,0
CRR710764,mapping quality filtered,OM451123.1,3,129
CRR710764,mapping quality filtered,MT114540.1,1,43
CRR710764,mapping quality filtered,MT114541.1,0,0
CRR710764,all mapped reads,OM451122.1,0,43
CRR710764,all mapped reads,OM451123.1,4,215
CRR710764,all mapped reads,MT114540.1,4,172
CRR710764,all mapped reads,MT114541.1,0,258
CRR710765,mapping quality filtered,OM451122.1,117,1991
CRR710765,mapping quality filtered,OM451123.1,162,2620
CRR710765,mapping quality filtered,MT114540.1,173,4004
CRR710765,mapping quality filtered,MT114541.1,261,4749
CRR710765,all mapped reads,OM451122.1,498,14123
CRR710765,all mapped reads,OM451123.1,687,17109
CRR710765,all mapped reads,MT114540.1,800,20325
CRR710765,all mapped reads,MT114541.1,992,22118
CRR710766,mapping quality filtered,OM451122.1,0,0
CRR710766,mapping quality filtered,OM451123.1,0,0
CRR710766,mapping quality filtered,MT114540.1,2,43
CRR710766,mapping quality filtered,MT114541.1,1,43
CRR710766,all mapped reads,OM451122.1,0,86
CRR710766,all mapped reads,OM451123.1,1,129
CRR710766,all mapped reads,MT114540.1,2,129
CRR710766,all mapped reads,MT114541.1,5,172
CRR710767,mapping quality filtered,OM451122.1,0,0
CRR710767,mapping quality filtered,OM451123.1,0,0
CRR710767,mapping quality filtered,MT114540.1,0,0
CRR710767,mapping quality filtered,MT114541.1,0,0
CRR710767,all mapped reads,OM451122.1,0,0
CRR710767,all mapped reads,OM451123.1,0,0
CRR710767,all mapped reads,MT114540.1,0,0
CRR710767,all mapped reads,MT114541.1,0,0
CRR710768,mapping quality filtered,OM451122.1,0,0
CRR710768,mapping quality filtered,OM451123.1,0,0
CRR710768,mapping quality filtered,MT114540.1,0,0
CRR710768,mapping quality filtered,MT114541.1,0,0
CRR710768,all mapped reads,OM451122.1,0,0
CRR710768,all mapped reads,OM451123.1,0,0
CRR710768,all mapped reads,MT114540.1,0,0
CRR710768,all mapped reads,MT114541.1,0,0
CRR710769,mapping quality filtered,OM451122.1,0,0
CRR710769,mapping quality filtered,OM451123.1,0,0
CRR710769,mapping quality filtered,MT114540.1,0,0
CRR710769,mapping quality filtered,MT114541.1,0,0
CRR710769,all mapped reads,OM451122.1,0,0
CRR710769,all mapped reads,OM451123.1,0,0
CRR710769,all mapped reads,MT114540.1,0,0
CRR710769,all mapped reads,MT114541.1,0,0
CRR710770,mapping quality filtered,OM451122.1,0,0
CRR710770,mapping quality filtered,OM451123.1,0,0
CRR710770,mapping quality filtered,MT114540.1,0,0
CRR710770,mapping quality filtered,MT114541.1,0,0
CRR710770,all mapped reads,OM451122.1,0,0
CRR710770,all mapped reads,OM451123.1,0,0
CRR710770,all mapped reads,MT114540.1,0,0
CRR710770,all mapped reads,MT114541.1,0,0
CRR710771,mapping quality filtered,OM451122.1,0,0
CRR710771,mapping quality filtered,OM451123.1,0,0
CRR710771,mapping quality filtered,MT114540.1,0,0
CRR710771,mapping quality filtered,MT114541.1,0,0
CRR710771,all mapped reads,OM451122.1,0,0
CRR710771,all mapped reads,OM451123.1,0,0
CRR710771,all mapped reads,MT114540.1,0,0
CRR710771,all mapped reads,MT114541.1,0,0
CRR710772,mapping quality filtered,OM451122.1,0,0
CRR710772,mapping quality filtered,OM451123.1,0,0
CRR710772,mapping quality filtered,MT114540.1,0,0
CRR710772,mapping quality filtered,MT114541.1,0,0
CRR710772,all mapped reads,OM451122.1,0,0
CRR710772,all mapped reads,OM451123.1,0,0
CRR710772,all mapped reads,MT114540.1,0,0
CRR710772,all mapped reads,MT114541.1,0,0
CRR710773,mapping quality filtered,OM451122.1,0,0
CRR710773,mapping quality filtered,OM451123.1,0,0
CRR710773,mapping quality filtered,MT114540.1,0,0
CRR710773,mapping quality filtered,MT114541.1,0,0
CRR710773,all mapped reads,OM451122.1,0,0
CRR710773,all mapped reads,OM451123.1,0,0
CRR710773,all mapped reads,MT114540.1,0,0
CRR710773,all mapped reads,MT114541.1,0,0
CRR710774,mapping quality filtered,OM451122.1,0,0
CRR710774,mapping quality filtered,OM451123.1,0,0
CRR710774,mapping quality filtered,MT114540.1,0,0
CRR710774,mapping quality filtered,MT114541.1,0,0
CRR710774,all mapped reads,OM451122.1,0,0
CRR710774,all mapped reads,OM451123.1,0,0
CRR710774,all mapped reads,MT114540.1,0,0
CRR710774,all mapped reads,MT114541.1,0,0
CRR710775,mapping quality filtered,OM451122.1,0,0
CRR710775,mapping quality filtered,OM451123.1,0,0
CRR710775,mapping quality filtered,MT114540.1,3,272
CRR710775,mapping quality filtered,MT114541.1,0,0
CRR710775,all mapped reads,OM451122.1,0,0
CRR710775,all mapped reads,OM451123.1,0,186
CRR710775,all mapped reads,MT114540.1,3,272
CRR710775,all mapped reads,MT114541.1,0,239
CRR710776,mapping quality filtered,OM451122.1,0,0
CRR710776,mapping quality filtered,OM451123.1,0,0
CRR710776,mapping quality filtered,MT114540.1,0,0
CRR710776,mapping quality filtered,MT114541.1,0,0
CRR710776,all mapped reads,OM451122.1,0,0
CRR710776,all mapped reads,OM451123.1,0,0
CRR710776,all mapped reads,MT114540.1,0,0
CRR710776,all mapped reads,MT114541.1,0,0
CRR710777,mapping quality filtered,OM451122.1,0,0
CRR710777,mapping quality filtered,OM451123.1,0,0
CRR710777,mapping quality filtered,MT114540.1,0,0
CRR710777,mapping quality filtered,MT114541.1,0,0
CRR710777,all mapped reads,OM451122.1,0,0
CRR710777,all mapped reads,OM451123.1,0,0
CRR710777,all mapped reads,MT114540.1,0,0
CRR710777,all mapped reads,MT114541.1,0,0
CRR710778,mapping quality filtered,OM451122.1,0,0
CRR710778,mapping quality filtered,OM451123.1,0,0
CRR710778,mapping quality filtered,MT114540.1,0,0
CRR710778,mapping quality filtered,MT114541.1,0,0
CRR710778,all mapped reads,OM451122.1,0,0
CRR710778,all mapped reads,OM451123.1,0,0
CRR710778,all mapped reads,MT114540.1,0,0
CRR710778,all mapped reads,MT114541.1,0,0
CRR710779,mapping quality filtered,OM451122.1,0,0
CRR710779,mapping quality filtered,OM451123.1,0,0
CRR710779,mapping quality filtered,MT114540.1,0,0
CRR710779,mapping quality filtered,MT114541.1,0,0
CRR710779,all mapped reads,OM451122.1,0,0
CRR710779,all mapped reads,OM451123.1,0,0
CRR710779,all mapped reads,MT114540.1,0,0
CRR710779,all mapped reads,MT114541.1,0,0
CRR710780,mapping quality filtered,OM451122.1,0,0
CRR710780,mapping quality filtered,OM451123.1,0,0
CRR710780,mapping quality filtered,MT114540.1,0,0
CRR710780,mapping quality filtered,MT114541.1,0,0
CRR710780,all mapped reads,OM451122.1,0,0
CRR710780,all mapped reads,OM451123.1,0,0
CRR710780,all mapped reads,MT114540.1,0,0
CRR710780,all mapped reads,MT114541.1,0,0
CRR710781,mapping quality filtered,OM451122.1,0,0
CRR710781,mapping quality filtered,OM451123.1,0,0
CRR710781,mapping quality filtered,MT114540.1,0,0
CRR710781,mapping quality filtered,MT114541.1,0,0
CRR710781,all mapped reads,OM451122.1,0,0
CRR710781,all mapped reads,OM451123.1,0,0
CRR710781,all mapped reads,MT114540.1,0,0
CRR710781,all mapped reads,MT114541.1,0,0
CRR710782,mapping quality filtered,OM451122.1,0,0
CRR710782,mapping quality filtered,OM451123.1,0,0
CRR710782,mapping quality filtered,MT114540.1,0,0
CRR710782,mapping quality filtered,MT114541.1,0,0
CRR710782,all mapped reads,OM451122.1,0,0
CRR710782,all mapped reads,OM451123.1,0,0
CRR710782,all mapped reads,MT114540.1,0,0
CRR710782,all mapped reads,MT114541.1,0,0
CRR710783,mapping quality filtered,OM451122.1,0,0
CRR710783,mapping quality filtered,OM451123.1,0,0
CRR710783,mapping quality filtered,MT114540.1,0,0
CRR710783,mapping quality filtered,MT114541.1,0,0
CRR710783,all mapped reads,OM451122.1,0,0
CRR710783,all mapped reads,OM451123.1,0,0
CRR710783,all mapped reads,MT114540.1,0,0
CRR710783,all mapped reads,MT114541.1,0,0
CRR710784,mapping quality filtered,OM451122.1,0,0
CRR710784,mapping quality filtered,OM451123.1,0,0
CRR710784,mapping quality filtered,MT114540.1,0,0
CRR710784,mapping quality filtered,MT114541.1,0,0
