accession,virus_id,n_reads,covered_bases
CRR710761,OQ297694.1,0,0
CRR710761,NC_017083.1,0,0
CRR710761,NC_045512.2,5,215
CRR710761,NC_032730.1,1,43
CRR710761,OM451123.1,0,0
CRR710761,OM451122.1,0,0
CRR710761,NC_026011.1,0,0
CRR710761,OM451212.1,0,0
CRR710761,OM451213.1,1,43
CRR710761,NC_039208.1,0,0
CRR710762,OQ297694.1,262,8391
CRR710762,NC_017083.1,5,215
CRR710762,NC_045512.2,1,43
CRR710762,NC_032730.1,0,0
CRR710762,OM451123.1,11,439
CRR710762,OM451122.1,5,215
CRR710762,NC_026011.1,0,0
CRR710762,OM451212.1,0,0
CRR710762,OM451213.1,1,43
CRR710762,NC_039208.1,0,0
CRR710763,OQ297694.1,32,1132
CRR710763,NC_017083.1,24,993
CRR710763,NC_045512.2,3,129
CRR710763,NC_032730.1,0,0
CRR710763,OM451123.1,10,387
CRR710763,OM451122.1,11,430
CRR710763,NC_026011.1,1,43
CRR710763,OM451212.1,0,0
CRR710763,OM451213.1,0,0
CRR710763,NC_039208.1,0,0
CRR710764,OQ297694.1,18,774
CRR710764,NC_017083.1,40,1645
CRR710764,NC_045512.2,7,301
CRR710764,NC_032730.1,0,0
CRR710764,OM451123.1,3,129
CRR710764,OM451122.1,0,0
CRR710764,NC_026011.1,0,0
CRR710764,OM451212.1,1,43
CRR710764,OM451213.1,0,0
CRR710764,NC_039208.1,0,0
CRR710765,OQ297694.1,29,1133
CRR710765,NC_017083.1,19,817
CRR710765,NC_045512.2,2,86
CRR710765,NC_032730.1,0,0
CRR710765,OM451123.1,811,10997
CRR710765,OM451122.1,493,6826
CRR710765,NC_026011.1,0,0
CRR710765,OM451212.1,29,979
CRR710765,OM451213.1,28,998
CRR710765,NC_039208.1,0,0
CRR710766,OQ297694.1,43,1503
CRR710766,NC_017083.1,8,301
CRR710766,NC_045512.2,2,86
CRR710766,NC_032730.1,0,0
CRR710766,OM451123.1,3,86
CRR710766,OM451122.1,1,43
CRR710766,NC_026011.1,0,0
CRR710766,OM451212.1,0,0
CRR710766,OM451213.1,0,0
CRR710766,NC_039208.1,0,0
CRR710767,OQ297694.1,0,0
CRR710767,NC_017083.1,0,0
CRR710767,NC_045512.2,0,0
CRR710767,NC_032730.1,0,0
CRR710767,OM451123.1,0,0
CRR710767,OM451122.1,0,0
CRR710767,NC_026011.1,0,0
CRR710767,OM451212.1,0,0
CRR710767,OM451213.1,0,0
CRR710767,NC_039208.1,0,0
CRR710768,OQ297694.1,0,0
CRR710768,NC_017083.1,0,0
CRR710768,NC_045512.2,0,0
CRR710768,NC_032730.1,0,0
CRR710768,OM451123.1,0,0
CRR710768,OM451122.1,0,0
CRR710768,NC_026011.1,0,0
CRR710768,OM451212.1,0,0
